created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-04-26 09:31:31 UTC,101348,0.00,223.61,7.27,400.00,,
2024-04-26 09:32:24 UTC,101349,0.00,225.61,10.24,400.00,,
2024-04-26 09:33:15 UTC,101350,0.00,202.35,7.53,400.00,,
2024-04-26 09:34:06 UTC,101351,0.00,197.16,7.87,400.00,,
2024-04-26 09:34:59 UTC,101352,0.00,216.43,7.44,400.00,,
2024-04-26 09:35:53 UTC,101353,0.00,190.49,7.29,400.00,,
2024-04-26 09:36:44 UTC,101354,0.00,186.21,7.75,400.00,,
2024-04-26 09:37:36 UTC,101355,0.00,192.13,7.58,400.00,,
2024-04-26 09:38:29 UTC,101356,0.00,211.40,7.99,400.00,,
2024-04-26 09:39:22 UTC,101357,0.00,224.27,7.78,400.00,,
2024-04-26 09:40:14 UTC,101358,0.00,182.04,7.96,400.00,,
2024-04-26 09:41:06 UTC,101359,0.00,224.94,7.46,400.00,,
2024-04-26 09:41:58 UTC,101360,0.00,196.59,7.40,400.00,,
2024-04-26 09:42:51 UTC,101361,0.00,219.66,7.68,400.00,,
2024-04-26 09:43:43 UTC,101362,0.00,194.91,8.51,400.00,,
2024-04-26 09:44:34 UTC,101363,0.00,181.53,7.64,400.00,,
2024-04-26 09:45:26 UTC,101364,0.00,222.28,7.56,400.00,,
2024-04-26 09:46:19 UTC,101365,0.00,201.19,8.23,400.00,,
2024-04-26 09:47:10 UTC,101366,0.00,219.01,8.15,400.00,,
2024-04-26 09:48:02 UTC,101367,0.00,189.41,7.30,400.00,,
2024-04-26 09:48:54 UTC,101368,0.00,216.43,7.87,400.00,,
2024-04-26 09:49:47 UTC,101369,0.00,189.41,8.50,400.00,,
2024-04-26 09:50:39 UTC,101370,0.00,176.01,8.19,400.00,,
2024-04-26 09:51:31 UTC,101371,0.00,208.94,8.10,400.00,,
2024-04-26 09:52:22 UTC,101372,0.00,171.65,7.36,400.00,,
2024-04-26 09:53:15 UTC,101373,0.00,180.51,8.12,400.00,,
2024-04-26 09:54:06 UTC,101374,0.00,174.54,7.19,400.00,,
2024-04-26 09:54:57 UTC,101375,0.00,178.49,8.07,400.00,,
2024-04-26 09:55:49 UTC,101376,0.00,189.41,7.99,400.00,,
2024-04-26 09:56:41 UTC,101377,0.00,195.47,7.91,400.00,,
