created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-05-27 06:00:25 UTC,132749,17.00,22.20,1651.00,,,
2024-05-27 06:01:16 UTC,132750,17.00,21.90,1660.00,,,
2024-05-27 06:02:09 UTC,132751,17.00,21.80,1516.00,,,
2024-05-27 06:03:00 UTC,132752,17.00,21.80,1695.00,,,
2024-05-27 06:03:50 UTC,132753,17.00,21.80,1611.00,,,
2024-05-27 06:04:41 UTC,132754,17.00,21.80,1674.00,,,
2024-05-27 06:05:34 UTC,132755,17.00,21.80,1721.00,,,
2024-05-27 06:06:25 UTC,132756,17.00,21.80,1674.00,,,
2024-05-27 06:07:15 UTC,132757,17.00,21.80,1704.00,,,
2024-05-27 06:08:06 UTC,132758,17.00,21.80,1656.00,,,
2024-05-27 06:08:58 UTC,132759,17.00,21.80,1611.00,,,
2024-05-27 06:09:49 UTC,132760,17.00,21.80,1615.00,,,
2024-05-27 06:10:40 UTC,132761,17.00,21.80,1656.00,,,
2024-05-27 06:11:31 UTC,132762,17.00,21.80,1615.00,,,
2024-05-27 06:12:23 UTC,132763,17.00,21.80,1582.00,,,
2024-05-27 06:13:14 UTC,132764,17.00,21.50,1582.00,,,
2024-05-27 06:14:05 UTC,132765,17.00,21.40,1563.00,,,
2024-05-27 06:14:56 UTC,132766,17.00,21.40,1372.00,,,
2024-05-27 06:15:49 UTC,132767,17.00,21.40,1372.00,,,
2024-05-27 06:16:40 UTC,132768,17.00,21.40,1512.00,,,
2024-05-27 06:17:31 UTC,132769,17.00,21.40,1372.00,,,
2024-05-27 06:18:22 UTC,132770,17.00,21.40,1495.00,,,
2024-05-27 06:19:14 UTC,132771,17.00,21.40,1134.00,,,
2024-05-27 06:20:05 UTC,132772,17.00,21.40,1364.00,,,
2024-05-27 06:20:56 UTC,132773,17.00,21.40,795.00,,,
2024-05-27 06:21:47 UTC,132774,17.00,21.40,983.00,,,
2024-05-27 06:22:40 UTC,132775,17.00,21.40,846.00,,,
2024-05-27 06:23:31 UTC,132776,17.00,21.40,765.00,,,
2024-05-27 06:24:22 UTC,132777,17.00,21.40,846.00,,,
2024-05-27 06:25:13 UTC,132778,17.00,21.40,846.00,,,
2024-05-27 06:26:05 UTC,132779,17.00,21.40,918.00,,,
2024-05-27 06:26:56 UTC,132780,17.00,21.40,975.00,,,
2024-05-27 06:27:47 UTC,132781,17.00,21.40,1195.00,,,
2024-05-27 06:28:38 UTC,132782,17.00,21.40,1224.00,,,
2024-05-27 06:29:30 UTC,132783,17.00,21.40,1495.00,,,
2024-05-27 06:30:21 UTC,132784,17.00,21.40,1224.00,,,
2024-05-27 06:31:12 UTC,132785,17.00,21.40,1538.00,,,
2024-05-27 06:32:03 UTC,132786,17.00,21.40,995.00,,,
2024-05-27 06:32:55 UTC,132787,17.00,21.40,1572.00,,,
2024-05-27 06:33:46 UTC,132788,17.00,21.40,1664.00,,,
2024-05-27 06:34:37 UTC,132789,17.00,21.40,1695.00,,,
2024-05-27 06:35:28 UTC,132790,17.00,21.40,1656.00,,,
2024-05-27 06:36:20 UTC,132791,17.00,21.40,1674.00,,,
2024-05-27 06:37:11 UTC,132792,17.00,21.40,1700.00,,,
2024-05-27 06:38:02 UTC,132793,17.00,21.40,1728.00,,,
2024-05-27 06:38:53 UTC,132794,17.00,21.40,1587.00,,,
2024-05-27 06:39:45 UTC,132795,17.00,21.40,1761.00,,,
2024-05-27 06:40:36 UTC,132796,17.00,21.40,1683.00,,,
2024-05-27 06:41:27 UTC,132797,17.00,21.40,1866.00,,,
2024-05-27 06:42:18 UTC,132798,17.00,21.40,1906.00,,,
2024-05-27 06:43:10 UTC,132799,17.00,21.40,1898.00,,,
2024-05-27 06:44:01 UTC,132800,17.00,21.40,1951.00,,,
2024-05-27 06:44:52 UTC,132801,17.00,21.40,1972.00,,,
2024-05-27 06:45:43 UTC,132802,17.00,21.10,1967.00,,,
2024-05-27 06:46:35 UTC,132803,17.00,21.10,2104.00,,,
2024-05-27 06:47:26 UTC,132804,17.00,21.10,2201.00,,,
2024-05-27 06:48:17 UTC,132805,17.00,21.00,2208.00,,,
2024-05-27 06:49:08 UTC,132806,17.00,21.00,2014.00,,,
2024-05-27 06:50:00 UTC,132807,17.00,21.00,2370.00,,,
2024-05-27 06:50:51 UTC,132808,17.00,21.00,2218.00,,,
2024-05-27 06:51:42 UTC,132809,17.00,21.00,2421.00,,,
2024-05-27 06:52:33 UTC,132810,17.00,21.00,2322.00,,,
2024-05-27 06:53:25 UTC,132811,17.00,21.00,2322.00,,,
2024-05-27 06:54:16 UTC,132812,17.00,21.00,2322.00,,,
2024-05-27 06:55:07 UTC,132813,17.00,21.00,2292.00,,,
2024-05-27 06:55:58 UTC,132814,17.00,21.00,2218.00,,,
2024-05-27 06:56:50 UTC,132815,17.00,21.00,2218.00,,,
2024-05-27 06:57:42 UTC,132816,17.00,21.00,2274.00,,,
2024-05-27 06:58:33 UTC,132817,17.00,21.00,2274.00,,,
2024-05-27 06:59:24 UTC,132818,17.00,21.00,2218.00,,,
2024-05-27 07:00:16 UTC,132819,17.00,21.00,2292.00,,,
2024-05-27 07:01:07 UTC,132820,17.00,21.00,2300.00,,,
2024-05-27 07:01:58 UTC,132821,17.00,21.00,2292.00,,,
2024-05-27 07:02:49 UTC,132822,18.00,20.90,2201.00,,,
2024-05-27 07:03:41 UTC,132823,18.00,20.70,2238.00,,,
