created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-30 06:00:40 UTC,87013,26.00,17.40,2201.00,,,
2024-03-30 06:01:32 UTC,87014,26.00,17.40,2432.00,,,
2024-03-30 06:02:23 UTC,87015,26.00,17.30,2483.00,,,
2024-03-30 06:03:14 UTC,87016,26.00,17.10,2561.00,,,
2024-03-30 06:04:06 UTC,87017,26.00,17.00,2569.00,,,
2024-03-30 06:04:57 UTC,87018,26.00,17.00,2469.00,,,
2024-03-30 06:05:49 UTC,87019,26.00,17.00,2763.00,,,
2024-03-30 06:06:40 UTC,87020,26.00,17.00,2820.00,,,
2024-03-30 06:07:32 UTC,87021,26.00,17.00,2845.00,,,
2024-03-30 06:08:24 UTC,87022,26.00,17.00,2927.00,,,
2024-03-30 06:09:15 UTC,87023,27.00,17.00,2937.00,,,
2024-03-30 06:10:06 UTC,87024,26.00,17.00,2937.00,,,
2024-03-30 06:10:59 UTC,87025,26.00,17.00,2937.00,,,
2024-03-30 06:11:50 UTC,87026,27.00,16.90,2968.00,,,
2024-03-30 06:12:41 UTC,87027,27.00,16.70,2968.00,,,
2024-03-30 06:13:31 UTC,87028,26.00,16.60,2937.00,,,
2024-03-30 06:14:23 UTC,87029,27.00,16.60,2791.00,,,
2024-03-30 06:15:15 UTC,87030,27.00,16.60,2875.00,,,
2024-03-30 06:16:05 UTC,87031,27.00,16.60,2201.00,,,
2024-03-30 06:16:57 UTC,87032,27.00,16.60,2829.00,,,
2024-03-30 06:17:49 UTC,87033,27.00,16.60,2829.00,,,
2024-03-30 06:18:40 UTC,87034,27.00,16.60,2896.00,,,
2024-03-30 06:19:31 UTC,87035,27.00,16.60,2845.00,,,
2024-03-30 06:20:22 UTC,87036,27.00,16.60,2875.00,,,
2024-03-30 06:21:14 UTC,87037,27.00,16.60,2732.00,,,
2024-03-30 06:22:05 UTC,87038,27.00,16.60,2747.00,,,
2024-03-30 06:22:56 UTC,87039,27.00,16.60,2659.00,,,
2024-03-30 06:23:47 UTC,87040,27.00,16.60,2461.00,,,
2024-03-30 06:24:39 UTC,87041,27.00,16.60,2680.00,,,
2024-03-30 06:25:30 UTC,87042,27.00,16.60,2709.00,,,
2024-03-30 06:26:21 UTC,87043,27.00,16.60,2659.00,,,
2024-03-30 06:27:12 UTC,87044,27.00,16.60,2659.00,,,
2024-03-30 06:28:04 UTC,87045,27.00,16.60,2261.00,,,
2024-03-30 06:28:55 UTC,87046,28.00,16.50,2370.00,,,
2024-03-30 06:29:46 UTC,87047,28.00,16.40,2461.00,,,
2024-03-30 06:30:37 UTC,87048,28.00,16.10,2512.00,,,
2024-03-30 06:31:28 UTC,87049,28.00,16.10,2386.00,,,
2024-03-30 06:32:20 UTC,87050,28.00,16.10,2450.00,,,
2024-03-30 06:33:11 UTC,87051,29.00,16.10,2432.00,,,
2024-03-30 06:34:02 UTC,87052,29.00,16.10,2421.00,,,
2024-03-30 06:34:54 UTC,87053,29.00,16.10,2281.00,,,
2024-03-30 06:35:45 UTC,87054,29.00,16.10,2349.00,,,
2024-03-30 06:36:36 UTC,87055,29.00,16.10,2407.00,,,
2024-03-30 06:37:27 UTC,87056,29.00,16.10,2370.00,,,
2024-03-30 06:38:19 UTC,87057,29.00,16.10,2281.00,,,
2024-03-30 06:39:10 UTC,87058,30.00,16.10,2349.00,,,
2024-03-30 06:40:01 UTC,87059,30.00,16.10,2357.00,,,
2024-03-30 06:40:52 UTC,87060,30.00,16.10,2349.00,,,
2024-03-30 06:41:44 UTC,87061,31.00,15.80,2274.00,,,
2024-03-30 06:42:35 UTC,87062,31.00,15.70,2274.00,,,
2024-03-30 06:43:26 UTC,87063,31.00,15.70,2274.00,,,
2024-03-30 06:44:17 UTC,87064,31.00,15.70,2274.00,,,
2024-03-30 06:45:10 UTC,87065,31.00,15.70,2300.00,,,
2024-03-30 06:46:01 UTC,87066,31.00,15.70,2274.00,,,
2024-03-30 06:46:52 UTC,87067,31.00,15.70,2274.00,,,
2024-03-30 06:47:43 UTC,87068,31.00,15.70,2274.00,,,
2024-03-30 06:48:35 UTC,87069,32.00,15.70,2201.00,,,
2024-03-30 06:49:26 UTC,87070,32.00,15.70,2201.00,,,
2024-03-30 06:50:17 UTC,87071,32.00,15.70,2201.00,,,
2024-03-30 06:51:08 UTC,87072,32.00,15.70,2201.00,,,
2024-03-30 06:52:00 UTC,87073,32.00,15.60,2201.00,,,
2024-03-30 06:52:51 UTC,87074,32.00,15.60,2072.00,,,
2024-03-30 06:53:42 UTC,87075,32.00,15.60,2201.00,,,
2024-03-30 06:54:33 UTC,87076,33.00,15.60,2201.00,,,
2024-03-30 06:55:25 UTC,87077,33.00,15.30,2201.00,,,
2024-03-30 06:56:17 UTC,87078,33.00,15.30,2201.00,,,
2024-03-30 06:57:08 UTC,87079,33.00,15.20,2201.00,,,
2024-03-30 06:57:59 UTC,87080,33.00,15.20,2128.00,,,
2024-03-30 06:58:51 UTC,87081,33.00,15.20,2104.00,,,
2024-03-30 06:59:42 UTC,87082,34.00,15.20,2201.00,,,
2024-03-30 07:00:33 UTC,87083,34.00,15.20,2201.00,,,
2024-03-30 07:01:24 UTC,87084,34.00,15.20,1957.00,,,
2024-03-30 07:02:16 UTC,87085,34.00,15.20,2201.00,,,
2024-03-30 07:03:07 UTC,87086,34.00,15.20,2201.00,,,
2024-03-30 07:03:58 UTC,87087,34.00,15.20,2201.00,,,
2024-03-30 07:04:49 UTC,87088,34.00,15.20,2201.00,,,
2024-03-30 07:05:41 UTC,87089,34.00,15.20,2218.00,,,
2024-03-30 07:06:32 UTC,87090,34.00,15.10,2238.00,,,
2024-03-30 07:07:23 UTC,87091,34.00,14.80,2281.00,,,
2024-03-30 07:08:14 UTC,87092,34.00,14.80,2274.00,,,
2024-03-30 07:09:06 UTC,87093,35.00,14.80,2201.00,,,
2024-03-30 07:09:57 UTC,87094,35.00,14.80,2201.00,,,
2024-03-30 07:10:48 UTC,87095,35.00,14.80,2208.00,,,
2024-03-30 07:11:39 UTC,87096,35.00,14.80,2201.00,,,
2024-03-30 07:12:31 UTC,87097,35.00,14.80,2201.00,,,
2024-03-30 07:13:22 UTC,87098,35.00,14.80,2201.00,,,
2024-03-30 07:14:13 UTC,87099,35.00,14.80,2201.00,,,
2024-03-30 07:15:04 UTC,87100,35.00,14.80,2201.00,,,
2024-03-30 07:15:56 UTC,87101,35.00,14.80,2201.00,,,
2024-03-30 07:16:47 UTC,87102,35.00,14.80,2201.00,,,
2024-03-30 07:17:38 UTC,87103,35.00,14.80,2226.00,,,
